epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1202.19,0.87053,1.93536,0.98625,0.93573,0.90666,0.9335,0.76103,0.66005,0.82871,0.84309,0.00996988,0.00332329,0.00996988,0.00332329,0.00996988,0.00332329,0.00996988,0.00332329
2,2393.53,0.83082,0.75155,0.95191,0.91294,0.89875,0.9261,0.74369,0.70842,0.62865,0.87573,0.0195745,0.00652483,0.0195745,0.00652483,0.0195745,0.00652483,0.0195745,0.00652483
3,3574.08,0.89557,0.72137,0.9873,0.84648,0.79211,0.84189,0.66751,0.79896,0.92897,0.9409,0.0287831,0.00959436,0.0287831,0.00959436,0.0287831,0.00959436,0.0287831,0.00959436
4,4757.02,0.891,0.70007,0.99314,0.92071,0.8868,0.92221,0.74881,0.69859,0.54991,0.89843,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,5940.31,0.82856,0.62181,0.96604,0.9221,0.92787,0.94058,0.76776,0.68166,0.48162,0.8837,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,7121.85,0.78558,0.58071,0.94987,0.94121,0.90284,0.94656,0.80044,0.59051,0.4534,0.85408,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,8302.97,0.75752,0.54876,0.9365,0.93441,0.93075,0.94896,0.80944,0.57134,0.41106,0.85155,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,9485.42,0.73491,0.52723,0.9288,0.92827,0.95545,0.94838,0.81034,0.56835,0.39242,0.84729,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,10666.8,0.71833,0.50595,0.91943,0.93581,0.9525,0.95176,0.82353,0.53937,0.37865,0.83733,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,11850.5,0.70574,0.49503,0.91768,0.93376,0.95757,0.95624,0.83427,0.51365,0.36025,0.83191,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,13038.6,0.69296,0.48184,0.91187,0.93014,0.96029,0.95604,0.83846,0.50016,0.35421,0.82926,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,14223.4,0.68142,0.47016,0.90884,0.93241,0.95715,0.95689,0.84382,0.48607,0.34082,0.82532,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,15411.7,0.67392,0.46505,0.90529,0.93544,0.9563,0.95948,0.84723,0.48281,0.33955,0.82381,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,16596,0.66086,0.45123,0.89979,0.93229,0.9639,0.95501,0.84816,0.47093,0.33092,0.82336,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,17778.9,0.65172,0.44322,0.89739,0.94113,0.9631,0.95816,0.85302,0.4709,0.32434,0.82028,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,18964.5,0.6498,0.44135,0.89578,0.93836,0.96309,0.95868,0.85113,0.46903,0.32094,0.82023,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,20142.9,0.64119,0.43105,0.8924,0.94457,0.9615,0.95975,0.86306,0.45675,0.30931,0.81532,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,21329.1,0.63942,0.42847,0.89165,0.94099,0.96394,0.96002,0.86391,0.44834,0.30321,0.8131,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,22515,0.62848,0.42074,0.88876,0.94048,0.96542,0.96159,0.86781,0.4422,0.29743,0.81176,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,23699.7,0.62141,0.41306,0.88517,0.93468,0.97129,0.96187,0.8674,0.43589,0.29032,0.80916,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,24887.1,0.61712,0.40988,0.88349,0.93538,0.96945,0.9614,0.87049,0.43313,0.29144,0.8117,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,26073,0.61918,0.40942,0.88266,0.93581,0.97115,0.96219,0.87028,0.42981,0.28662,0.80867,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,27259.1,0.61202,0.40389,0.88309,0.94052,0.96818,0.96068,0.87284,0.42509,0.28397,0.80718,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,28443.3,0.60316,0.3964,0.87965,0.94178,0.9686,0.96344,0.87551,0.42087,0.27974,0.80618,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,29626.2,0.6004,0.39164,0.87888,0.94376,0.9682,0.96128,0.8747,0.41829,0.27395,0.80468,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,30809.6,0.59886,0.38901,0.87665,0.93759,0.97073,0.96206,0.87516,0.42039,0.27656,0.80468,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
